study_id,annual_cycle,family,species_name,species_code
Collop 2017,Non-breeding,Scolopacidae,Bar-tailed godwit,BTGO
Collop 2017,Non-breeding,Scolopacidae,Common redshank,CREH
Collop 2017,Non-breeding,Scolopacidae,Dunlin,DUNL
Collop 2017,Non-breeding,Scolopacidae,Eurasian curlew,EUCU
Collop 2017,Non-breeding,Haematopodidae,Eurasian oystercatcher,EUOY
Nightingale et al. 2018,Non-breeding,Scolopacidae,Purple sandpiper,PUSA
Von Holle et al. 2019,Breeding,Haematopodidae,American oystercatcher,AMOY
Von Holle et al. 2019,Non-breeding,Charadriidae,Piping plover,PIPL
Von Holle et al. 2019,Breeding,Charadriidae,Wilson's plover,WIPL
Wikramanayake et al. 2020,Migration,,,
Wikramanayake et al. 2020,Non-breeding,,,
Klingbeil et al. 2021,Breeding,Scolopacidae,Willet,WILL
McCarthy 2022,Breeding,Haematopodidae,American oystercatcher,AMOY
McCarthy 2022,Breeding,Charadriidae,Piping plover,PIPL
Zeigler et al. 2022,Breeding,Charadriidae,Piping plover,PIPL
Harmer 2023,Breeding,Scolopacidae,Common redshank,CREH
Laursen et al. 2023,Migration,Charadriidae,Black-bellied plover,BBPL
Laursen et al. 2023,Migration,Scolopacidae,Bar-tailed godwit,BTGO
Laursen et al. 2023,Year-round,Scolopacidae,Common redshank,CREH
Laursen et al. 2023,Migration,Scolopacidae,Dunlin,DUNL
Laursen et al. 2023,Year-round,Haematopodidae,Eurasian oystercatcher,EUOY
Laursen et al. 2023,Year-round,Scolopacidae,Eurasian curlew,EUCU
Laursen et al. 2023,Breeding,Recurvirostridae,Pied avocet,PIAV
Garcia-Walther et al. 2024,Non-breeding,Scolopacidae,Red knot,REKN
Van de Pol et al. 2024,Breeding,Haematopodidae,Eurasian oystercatcher,EUOY
Santos et al. 2025,Non-breeding,Scolopacidae,Semipalmated sandpiper,SESA
